Month,Monthly hotel occupied room av. ?63-?76 B.L.Bowerman et al
1963-01,501
1963-02,488
1963-03,504
1963-04,578
1963-05,545
1963-06,632
1963-07,728
1963-08,725
1963-09,585
1963-10,542
1963-11,480
1963-12,530
1964-01,518
1964-02,489
1964-03,528
1964-04,599
1964-05,572
1964-06,659
1964-07,739
1964-08,758
1964-09,602
1964-10,587
1964-11,497
1964-12,558
1965-01,555
1965-02,523
1965-03,532
1965-04,623
1965-05,598
1965-06,683
1965-07,774
1965-08,780
1965-09,609
1965-10,604
1965-11,531
1965-12,592
1966-01,578
1966-02,543
1966-03,565
1966-04,648
1966-05,615
1966-06,697
1966-07,785
1966-08,830
1966-09,645
1966-10,643
1966-11,551
1966-12,606
1967-01,585
1967-02,553
1967-03,576
1967-04,665
1967-05,656
1967-06,720
1967-07,826
1967-08,838
1967-09,652
1967-10,661
1967-11,584
1967-12,644
1968-01,623
1968-02,553
1968-03,599
1968-04,657
1968-05,680
1968-06,759
1968-07,878
1968-08,881
1968-09,705
1968-10,684
1968-11,577
1968-12,656
1969-01,645
1969-02,593
1969-03,617
1969-04,686
1969-05,679
1969-06,773
1969-07,906
1969-08,934
1969-09,713
1969-10,710
1969-11,600
1969-12,676
1970-01,645
1970-02,602
1970-03,601
1970-04,709
1970-05,706
1970-06,817
1970-07,930
1970-08,983
1970-09,745
1970-10,735
1970-11,620
1970-12,698
1971-01,665
1971-02,626
1971-03,649
1971-04,740
1971-05,729
1971-06,824
1971-07,937
1971-08,994
1971-09,781
1971-10,759
1971-11,643
1971-12,728
1972-01,691
1972-02,649
1972-03,656
1972-04,735
1972-05,748
1972-06,837
1972-07,995
1972-08,1040
1972-09,809
1972-10,793
1972-11,692
1972-12,763
1973-01,723
1973-02,655
1973-03,658
1973-04,761
1973-05,768
1973-06,885
1973-07,1067
1973-08,1038
1973-09,812
1973-10,790
1973-11,692
1973-12,782
1974-01,758
1974-02,709
1974-03,715
1974-04,788
1974-05,794
1974-06,893
1974-07,1046
1974-08,1075
1974-09,812
1974-10,822
1974-11,714
1974-12,802
1975-01,748
1975-02,731
1975-03,748
1975-04,827
1975-05,788
1975-06,937
1975-07,1076
1975-08,1125
1975-09,840
1975-10,864
1975-11,717
1975-12,813
1976-01,811
1976-02,732
1976-03,745
1976-04,844
1976-05,833
1976-06,935
1976-07,1110
1976-08,1124
1976-09,868
1976-10,860
1976-11,762
1976-12,877
